generation,n_feasible,Cost_min,Cost_mean,Emissions_min,Emissions_mean
282,20,240996.861645829,349778.05541653506,38191.06842241089,128063.26999319722
283,20,240996.861645829,341693.91224779666,38191.06842241089,135105.87921088788
284,20,240996.861645829,347750.7201466936,38191.06842241089,128140.74527081999
285,20,240996.861645829,345959.7672635256,38191.06842241089,133301.18888130286
286,20,240996.861645829,347072.24234418705,38191.06842241089,132888.32689552841
287,20,240996.861645829,348060.56002985453,38191.06842241089,129410.20807794179
288,20,240996.861645829,339567.6559235665,38191.06842241089,139812.18774609437
289,20,240996.861645829,339567.65592356655,38191.06842241089,139812.18774609437
290,20,240996.861645829,340976.91779794416,38191.06842241089,137271.11633225117
291,20,240996.861645829,344189.4785560132,38191.06842241089,135320.20171279795
292,20,240996.861645829,347384.1123834467,38191.06842241089,132834.79899037143
293,20,240996.861645829,352080.8814260578,38191.06842241089,126524.51880420365
294,20,240996.861645829,341061.56602914084,38191.06842241089,137321.16567425412
295,20,240996.861645829,338369.1883049684,38191.06842241089,141877.46645628542
296,20,240996.861645829,339156.1854727622,38191.06842241089,141472.14805358805
297,20,240996.861645829,348580.0709968428,38191.06842241089,134185.16266123953
298,20,240996.861645829,348608.09095044126,38191.06842241089,134183.07291297364
299,20,240996.861645829,348507.6928155425,38191.06842241089,134105.78455203428
300,20,240996.861645829,348774.0700965367,38191.06842241089,134006.25052030763
301,20,240996.861645829,349209.7899427076,38191.06842241089,133043.07145393902
302,20,240996.861645829,351654.9214974584,38191.06842241089,129148.85924938698
303,20,240996.861645829,351536.8349114334,38191.06842241089,129142.68619832862
304,20,240996.861645829,351527.0855665448,38191.06842241089,129121.79881865597
305,20,240996.861645829,351689.4968263705,38191.06842241089,128817.65948042591
306,20,240996.861645829,351748.5337528429,38191.06842241089,128765.21084368977
307,20,240996.861645829,351748.5337528429,38191.06842241089,128765.21084368978
308,20,240996.861645829,351748.5337528429,38191.06842241089,128765.21084368978
309,20,240996.861645829,352551.91349707777,38191.06842241089,128681.65849372519
310,20,240996.861645829,342377.90248976427,38191.06842241089,139436.7671450411
311,20,240996.861645829,352870.6158503061,38191.06842241089,130730.29399338938
312,20,240996.861645829,343864.65229232534,38191.06842241089,138487.12503323035
313,20,240996.861645829,344009.2632872808,38191.06842241089,138266.08243585483
314,20,240996.861645829,343949.43760441645,38191.06842241089,138288.89519180523
315,20,240996.861645829,342501.91856783937,38191.06842241089,140317.73457432457
316,20,240996.861645829,343820.3574053418,38191.06842241089,136967.0843710198
317,20,240996.861645829,333852.7344610125,38191.06842241089,147557.76088931313
318,20,240996.861645829,331825.6493719653,38191.06842241089,148385.96334027176
319,20,240996.861645829,340812.80510051415,38191.06842241089,138503.8996266319
320,20,240996.861645829,340812.8051005142,38191.06842241089,138503.8996266319
321,20,240996.861645829,330443.7012751984,38191.06842241089,149550.91564322615
322,20,240996.861645829,340938.2726463515,38191.06842241089,140145.46300068102
323,20,240996.861645829,341679.97600328433,38191.06842241089,138497.55108576763
324,20,240996.861645829,347453.7023815582,38191.06842241089,132982.94763454222
325,20,240996.861645829,347467.3610246151,38191.06842241089,132974.4495740973
326,20,240996.861645829,341188.3449234935,38191.06842241089,138878.22273079242
327,20,240996.861645829,341069.06995029707,38191.06842241089,138926.7778147621
328,20,240996.861645829,341582.54468695377,38191.06842241089,138349.12687083735
329,20,240996.861645829,343340.77278244065,38191.06842241089,137289.12235729332
330,20,240996.861645829,342494.7934265853,38191.06842241089,137364.33221325075
331,20,240996.861645829,349065.3022868588,38191.06842241089,130862.88861188055
332,20,240996.861645829,342946.96680799685,38191.06842241089,141574.02490255685
333,20,240996.861645829,343138.412727862,38191.06842241089,141399.72451068257
334,20,240996.861645829,338554.11550946615,38191.06842241089,145553.0126628676
335,20,240996.861645829,338441.4331917969,38191.06842241089,145505.68542354836
336,20,240996.861645829,333452.92997564876,38191.06842241089,147283.10102678445
337,20,240996.861645829,333076.1472037464,38191.06842241089,147401.36703236817
338,20,240996.861645829,335230.23909498774,38191.06842241089,144953.59163659165
339,20,240996.861645829,341158.9173043674,38191.06842241089,138048.02664767852
340,20,240996.861645829,339509.81583316345,38191.06842241089,138511.6590275202
341,20,240996.861645829,339509.8158331635,38191.06842241089,138511.6590275202
342,20,240996.861645829,341747.07464550546,38191.06842241089,137632.63904686636
343,20,240996.861645829,344949.3127163026,38191.06842241089,133180.05206019312
344,20,240996.861645829,347367.46924432507,38191.06842241089,130706.56766261144
345,20,240996.861645829,350438.8714656525,38191.06842241089,126046.81247415804
346,20,240996.861645829,350053.17093877465,38191.06842241089,126046.81247415804
347,20,240996.861645829,345242.1462271906,38191.06842241089,133559.42077544602
348,20,240996.861645829,345796.3055872803,38191.06842241089,132963.44460199735
349,20,240996.861645829,346110.8424053193,38191.06842241089,132629.62567072353
350,20,240996.861645829,346110.8424053193,38191.06842241089,132629.6256707235
351,20,240996.861645829,338647.99345561134,38191.06842241089,139451.325392769
352,20,240996.861645829,345680.39485031203,38191.06842241089,134956.8776243041
353,20,240996.861645829,340319.5342320035,38191.06842241089,136742.23675185934
354,20,240996.861645829,336465.35265129467,38191.06842241089,142330.6174211052
355,20,240996.861645829,351492.1180285517,38191.06842241089,126500.09374682338
356,20,240996.861645829,347166.30036893155,38191.06842241089,134929.12748574954
357,20,240996.861645829,346390.5105418214,38191.06842241089,135331.18314425653
358,20,240996.861645829,344618.5056870926,38191.06842241089,135629.883280673
359,20,240996.861645829,349786.87043659145,38191.06842241089,128437.71812827182
360,20,240996.861645829,343269.9699697535,38191.06842241089,135846.29268532712
361,20,240996.861645829,331238.5353842011,38191.06842241089,147577.4569331456
